timestamp,flare_prob,target,goes_class,fl_location,flare_start,x,y
2013/05/13/HMI.m2013.05.13_06.00.00.jpg,0.6790815591812134,1,X3.2,"(-80.3081384076641, 12)",2013-05-14 00:00:00,-80.31,12.0
2013/11/18/HMI.m2013.11.18_17.00.00.jpg,0.6738564372062683,1,X1.0,"(72.09391758558833, -13)",2013-11-19 10:14:00,72.09,-13.0
2014/02/02/HMI.m2014.02.02_23.00.00.jpg,0.9660838842391968,0,C7.9,"(5.516694709262259, -13)",2014-02-03 12:43:00,,
